series,c,loglik_exact,c_true,phi,nu
Serie_1,0.05,-3379.4000355699804,0.2,0.965,2.5
Serie_1,0.0595959595959596,-3183.5365792557695,0.2,0.965,2.5
Serie_1,0.0691919191919192,-3078.55795298987,0.2,0.965,2.5
Serie_1,0.0787878787878788,-3023.4991081796147,0.2,0.965,2.5
Serie_1,0.08838383838383838,-2996.0202656976644,0.2,0.965,2.5
Serie_1,0.09797979797979797,-2982.4324374249622,0.2,0.965,2.5
Serie_1,0.10757575757575757,-2974.2684899527976,0.2,0.965,2.5
Serie_1,0.11717171717171716,-2968.0222470061117,0.2,0.965,2.5
Serie_1,0.12676767676767675,-2963.032677787521,0.2,0.965,2.5
Serie_1,0.13636363636363635,-2959.100954404298,0.2,0.965,2.5
Serie_1,0.14595959595959596,-2956.04149767873,0.2,0.965,2.5
Serie_1,0.15555555555555556,-2953.6993034108373,0.2,0.965,2.5
Serie_1,0.16515151515151516,-2951.952335924706,0.2,0.965,2.5
Serie_1,0.17474747474747476,-2950.7041927535865,0.2,0.965,2.5
Serie_1,0.1843434343434343,-2949.877783673872,0.2,0.965,2.5
Serie_1,0.1939393939393939,-2949.410731255474,0.2,0.965,2.5
Serie_1,0.2035353535353535,-2949.2520253949233,0.2,0.965,2.5
Serie_1,0.21313131313131312,-2949.3595526495988,0.2,0.965,2.5
Serie_1,0.22272727272727272,-2949.698244166156,0.2,0.965,2.5
Serie_1,0.23232323232323232,-2950.2386683502527,0.2,0.965,2.5
Serie_1,0.24191919191919192,-2950.9559482197824,0.2,0.965,2.5
Serie_1,0.2515151515151515,-2951.8289191218514,0.2,0.965,2.5
Serie_1,0.26111111111111107,-2952.8394666726563,0.2,0.965,2.5
Serie_1,0.2707070707070707,-2953.972001415015,0.2,0.965,2.5
Serie_1,0.2803030303030303,-2955.2130383111958,0.2,0.965,2.5
Serie_1,0.2898989898989899,-2956.550857426078,0.2,0.965,2.5
Serie_1,0.2994949494949495,-2957.975228068921,0.2,0.965,2.5
Serie_1,0.3090909090909091,-2959.477182960575,0.2,0.965,2.5
Serie_1,0.31868686868686863,-2961.0488321509874,0.2,0.965,2.5
Serie_1,0.32828282828282823,-2962.683208757965,0.2,0.965,2.5
Serie_1,0.33787878787878783,-2964.374140357243,0.2,0.965,2.5
Serie_1,0.34747474747474744,-2966.1161411853036,0.2,0.965,2.5
Serie_1,0.35707070707070704,-2967.904321332758,0.2,0.965,2.5
Serie_1,0.36666666666666664,-2969.7343098880283,0.2,0.965,2.5
Serie_1,0.37626262626262624,-2971.602189597594,0.2,0.965,2.5
Serie_1,0.38585858585858585,-2973.5044410823466,0.2,0.965,2.5
Serie_1,0.39545454545454545,-2975.4378950221326,0.2,0.965,2.5
Serie_1,0.405050505050505,-2977.399691014661,0.2,0.965,2.5
Serie_1,0.4146464646464646,-2979.3872420499074,0.2,0.965,2.5
Serie_1,0.4242424242424242,-2981.3982037283595,0.2,0.965,2.5
Serie_1,0.4338383838383838,-2983.4304475029053,0.2,0.965,2.5
Serie_1,0.4434343434343434,-2985.482037346031,0.2,0.965,2.5
Serie_1,0.453030303030303,-2987.5512093436387,0.2,0.965,2.5
Serie_1,0.4626262626262626,-2989.636353798033,0.2,0.965,2.5
