series,nu,loglik_exact,nu_true,phi,c
Serie_1,1.2,-2961.6227905971755,2.5,0.965,0.2
Serie_1,1.218791946308725,-2961.305369293961,2.5,0.965,0.2
Serie_1,1.2375838926174496,-2960.9921707309163,2.5,0.965,0.2
Serie_1,1.2563758389261745,-2960.6831853080116,2.5,0.965,0.2
Serie_1,1.2751677852348993,-2960.3784037571736,2.5,0.965,0.2
Serie_1,1.2939597315436242,-2960.077817122538,2.5,0.965,0.2
Serie_1,1.312751677852349,-2959.781416742099,2.5,0.965,0.2
Serie_1,1.3315436241610739,-2959.489194230631,2.5,0.965,0.2
Serie_1,1.3503355704697986,-2959.2011414637705,2.5,0.965,0.2
Serie_1,1.3691275167785235,-2958.9172505632264,2.5,0.965,0.2
Serie_1,1.3879194630872482,-2958.6375138829226,2.5,0.965,0.2
Serie_1,1.4067114093959732,-2958.361923996176,2.5,0.965,0.2
Serie_1,1.4255033557046979,-2958.0904736834814,2.5,0.965,0.2
Serie_1,1.4442953020134228,-2957.8231559213727,2.5,0.965,0.2
Serie_1,1.4630872483221475,-2957.559963871746,2.5,0.965,0.2
Serie_1,1.4818791946308725,-2957.3008908720512,2.5,0.965,0.2
Serie_1,1.5006711409395972,-2957.0459304259284,2.5,0.965,0.2
Serie_1,1.5194630872483221,-2956.7950761945303,2.5,0.965,0.2
Serie_1,1.5382550335570468,-2956.5483219882813,2.5,0.965,0.2
Serie_1,1.5570469798657718,-2956.3056617592956,2.5,0.965,0.2
Serie_1,1.5758389261744965,-2956.0670895940593,2.5,0.965,0.2
Serie_1,1.5946308724832214,-2955.8325997066145,2.5,0.965,0.2
Serie_1,1.6134228187919462,-2955.6021864321783,2.5,0.965,0.2
Serie_1,1.632214765100671,-2955.3758442211097,2.5,0.965,0.2
Serie_1,1.651006711409396,-2955.15356763321,2.5,0.965,0.2
Serie_1,1.6697986577181207,-2954.9353513323044,2.5,0.965,0.2
Serie_1,1.6885906040268455,-2954.7211900811894,2.5,0.965,0.2
Serie_1,1.7073825503355704,-2954.511078736876,2.5,0.965,0.2
Serie_1,1.7261744966442953,-2954.305012246071,2.5,0.965,0.2
Serie_1,1.74496644295302,-2954.102985640764,2.5,0.965,0.2
Serie_1,1.7637583892617448,-2953.90499403433,2.5,0.965,0.2
Serie_1,1.7825503355704697,-2953.7110326176576,2.5,0.965,0.2
Serie_1,1.8013422818791947,-2953.5210966554823,2.5,0.965,0.2
Serie_1,1.8201342281879194,-2953.335181482955,2.5,0.965,0.2
Serie_1,1.838926174496644,-2953.153282502428,2.5,0.965,0.2
Serie_1,1.857718120805369,-2952.975395180278,2.5,0.965,0.2
Serie_1,1.876510067114094,-2952.801515044117,2.5,0.965,0.2
Serie_1,1.8953020134228187,-2952.6316376798873,2.5,0.965,0.2
Serie_1,1.9140939597315434,-2952.465758729266,2.5,0.965,0.2
Serie_1,1.9328859060402683,-2952.3038738871414,2.5,0.965,0.2
Serie_1,1.9516778523489933,-2952.145978899319,2.5,0.965,0.2
Serie_1,1.970469798657718,-2951.9920695601554,2.5,0.965,0.2
Serie_1,1.9892617449664427,-2951.842141710445,2.5,0.965,0.2
Serie_1,2.0080536912751676,-2951.696191235396,2.5,0.965,0.2
Serie_1,2.0268456375838926,-2951.554214062663,2.5,0.965,0.2
Serie_1,2.045637583892617,-2951.416206160543,2.5,0.965,0.2
Serie_1,2.064429530201342,-2951.282163536141,2.5,0.965,0.2
Serie_1,2.083221476510067,-2951.15208223376,2.5,0.965,0.2
Serie_1,2.102013422818792,-2951.025958333267,2.5,0.965,0.2
Serie_1,2.120805369127517,-2950.9037879486445,2.5,0.965,0.2
Serie_1,2.1395973154362418,-2950.785567226439,2.5,0.965,0.2
Serie_1,2.1583892617449663,-2950.671292344462,2.5,0.965,0.2
Serie_1,2.177181208053691,-2950.560959510398,2.5,0.965,0.2
Serie_1,2.195973154362416,-2950.454564960703,2.5,0.965,0.2
Serie_1,2.2147651006711406,-2950.352104959236,2.5,0.965,0.2
Serie_1,2.2335570469798656,-2950.2535757962264,2.5,0.965,0.2
Serie_1,2.2523489932885905,-2950.1589737871477,2.5,0.965,0.2
Serie_1,2.2711409395973154,-2950.068295271692,2.5,0.965,0.2
Serie_1,2.2899328859060404,-2949.981536612818,2.5,0.965,0.2
Serie_1,2.308724832214765,-2949.898694195731,2.5,0.965,0.2
Serie_1,2.32751677852349,-2949.8197644270313,2.5,0.965,0.2
Serie_1,2.3463087248322143,-2949.7447437338515,2.5,0.965,0.2
Serie_1,2.3651006711409392,-2949.6736285630664,2.5,0.965,0.2
Serie_1,2.383892617449664,-2949.606415380403,2.5,0.965,0.2
Serie_1,2.402684563758389,-2949.543100669817,2.5,0.965,0.2
Serie_1,2.421476510067114,-2949.48368093271,2.5,0.965,0.2
Serie_1,2.440268456375839,-2949.4281526872805,2.5,0.965,0.2
Serie_1,2.459060402684564,-2949.3765124678102,2.5,0.965,0.2
Serie_1,2.4778523489932884,-2949.3287568241444,2.5,0.965,0.2
Serie_1,2.4966442953020134,-2949.284882320955,2.5,0.965,0.2
Serie_1,2.515436241610738,-2949.2448855373223,2.5,0.965,0.2
Serie_1,2.534228187919463,-2949.208763066086,2.5,0.965,0.2
