series,phi,loglik_exact,phi_true,nu,c
Serie_1,0.6,-5829.605420484919,0.965,2.5,0.2
Serie_1,0.6020050251256281,-5797.973424545063,0.965,2.5,0.2
Serie_1,0.6040100502512563,-5766.510935903034,0.965,2.5,0.2
Serie_1,0.6060150753768844,-5735.218152014481,0.965,2.5,0.2
Serie_1,0.6080201005025125,-5704.095269107463,0.965,2.5,0.2
Serie_1,0.6100251256281407,-5673.142482134123,0.965,2.5,0.2
Serie_1,0.6120301507537689,-5642.359984722584,0.965,2.5,0.2
Serie_1,0.6140351758793969,-5611.747969129247,0.965,2.5,0.2
Serie_1,0.6160402010050251,-5581.306626191478,0.965,2.5,0.2
Serie_1,0.6180452261306533,-5551.036145280657,0.965,2.5,0.2
Serie_1,0.6200502512562814,-5520.936714255531,0.965,2.5,0.2
Serie_1,0.6220552763819095,-5491.0085194160465,0.965,2.5,0.2
Serie_1,0.6240603015075377,-5461.251745457375,0.965,2.5,0.2
Serie_1,0.6260653266331658,-5431.666575424577,0.965,2.5,0.2
Serie_1,0.628070351758794,-5402.253190667314,0.965,2.5,0.2
Serie_1,0.6300753768844221,-5373.011770795208,0.965,2.5,0.2
Serie_1,0.6320804020100502,-5343.942493633405,0.965,2.5,0.2
Serie_1,0.6340854271356784,-5315.045535178671,0.965,2.5,0.2
Serie_1,0.6360904522613066,-5286.321069555647,0.965,2.5,0.2
Serie_1,0.6380954773869346,-5257.769268973774,0.965,2.5,0.2
Serie_1,0.6401005025125628,-5229.390303684272,0.965,2.5,0.2
Serie_1,0.642105527638191,-5201.184341937846,0.965,2.5,0.2
Serie_1,0.6441105527638191,-5173.151549942548,0.965,2.5,0.2
Serie_1,0.6461155778894472,-5145.292091822056,0.965,2.5,0.2
Serie_1,0.6481206030150753,-5117.606129574502,0.965,2.5,0.2
Serie_1,0.6501256281407035,-5090.093823031512,0.965,2.5,0.2
Serie_1,0.6521306532663317,-5062.755329817754,0.965,2.5,0.2
Serie_1,0.6541356783919597,-5035.590805310841,0.965,2.5,0.2
Serie_1,0.6561407035175879,-5008.60040260169,0.965,2.5,0.2
Serie_1,0.6581457286432161,-4981.784272455258,0.965,2.5,0.2
Serie_1,0.6601507537688442,-4955.142563271644,0.965,2.5,0.2
Serie_1,0.6621557788944723,-4928.675421047728,0.965,2.5,0.2
Serie_1,0.6641608040201005,-4902.382989339098,0.965,2.5,0.2
Serie_1,0.6661658291457286,-4876.265409222455,0.965,2.5,0.2
Serie_1,0.6681708542713568,-4850.322819258474,0.965,2.5,0.2
Serie_1,0.6701758793969849,-4824.55535545502,0.965,2.5,0.2
Serie_1,0.672180904522613,-4798.963151230892,0.965,2.5,0.2
Serie_1,0.6741859296482412,-4773.546337379817,0.965,2.5,0.2
Serie_1,0.6761909547738694,-4748.3050420351265,0.965,2.5,0.2
Serie_1,0.6781959798994974,-4723.239390634699,0.965,2.5,0.2
Serie_1,0.6802010050251256,-4698.349505886374,0.965,2.5,0.2
Serie_1,0.6822060301507538,-4673.6355077338685,0.965,2.5,0.2
Serie_1,0.6842110552763819,-4649.097513323051,0.965,2.5,0.2
Serie_1,0.68621608040201,-4624.73563696878,0.965,2.5,0.2
Serie_1,0.6882211055276382,-4600.549990122113,0.965,2.5,0.2
Serie_1,0.6902261306532663,-4576.540681337979,0.965,2.5,0.2
Serie_1,0.6922311557788945,-4552.707816243358,0.965,2.5,0.2
Serie_1,0.6942361809045225,-4529.051497505918,0.965,2.5,0.2
Serie_1,0.6962412060301507,-4505.571824803047,0.965,2.5,0.2
Serie_1,0.6982462311557789,-4482.268894791481,0.965,2.5,0.2
Serie_1,0.700251256281407,-4459.1428010772925,0.965,2.5,0.2
Serie_1,0.7022562814070352,-4436.193634186432,0.965,2.5,0.2
Serie_1,0.7042613065326633,-4413.421481535724,0.965,2.5,0.2
Serie_1,0.7062663316582914,-4390.826427404317,0.965,2.5,0.2
Serie_1,0.7082713567839196,-4368.408552905735,0.965,2.5,0.2
Serie_1,0.7102763819095477,-4346.167935960259,0.965,2.5,0.2
Serie_1,0.7122814070351758,-4324.1046512679495,0.965,2.5,0.2
