series,beta_index,beta_value,N,rep,loglik_pf,phi_fixed,nu,c,beta_true_j
Serie_3,1,-0.6,500,0,-2209.6615025774604,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,1,-2206.631641688963,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,2,-2206.348545146301,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,3,-2208.589874660267,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,4,-2203.4450060336035,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,5,-2207.3180700228518,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,6,-2211.426551992066,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,7,-2209.369251470742,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,8,-2207.286411059587,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,9,-2210.5798299650623,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,10,-2209.680262368124,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,11,-2211.626593613513,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,12,-2209.528649333891,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,13,-2208.887648755603,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,14,-2209.0458681049795,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,15,-2204.5983011804205,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,16,-2206.455924947006,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,17,-2208.8763929425654,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,18,-2207.894854434026,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,19,-2209.2588330474905,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,20,-2205.0624166322473,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,21,-2211.3192292057915,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,22,-2209.4162986805045,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,23,-2205.4962202954243,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,24,-2210.7629625263444,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,25,-2209.9506224468014,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,26,-2205.7069339398413,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,27,-2205.8963647470696,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,28,-2212.7230175061495,0.8,2.5,0.2,0.4
Serie_3,1,-0.6,500,29,-2208.7068751750617,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,0,-2192.991330866264,0.8,2.5,0.2,0.4
Serie_3,1,-0.5899497487437185,500,1,-2195.6025666542105,0.8,2.5,0.2,0.4
