series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6,50,0,-8375.17357188975,0.965,2.5,0.2
Serie_1,0.6,50,1,-8625.224354817416,0.965,2.5,0.2
Serie_1,0.6,50,2,-8394.036807687453,0.965,2.5,0.2
Serie_1,0.6,50,3,-8646.79939679943,0.965,2.5,0.2
Serie_1,0.6,50,4,-8669.595941876636,0.965,2.5,0.2
Serie_1,0.6,50,5,-8672.35947299942,0.965,2.5,0.2
Serie_1,0.6,50,6,-8600.449826669783,0.965,2.5,0.2
Serie_1,0.6,50,7,-8573.434436526111,0.965,2.5,0.2
Serie_1,0.6,50,8,-8581.063090564063,0.965,2.5,0.2
Serie_1,0.6,50,9,-8579.969678211575,0.965,2.5,0.2
Serie_1,0.6,50,10,-8587.467639485694,0.965,2.5,0.2
Serie_1,0.6,50,11,-8572.254109851423,0.965,2.5,0.2
Serie_1,0.6,50,12,-8596.307041019974,0.965,2.5,0.2
Serie_1,0.6,50,13,-8575.780417915232,0.965,2.5,0.2
Serie_1,0.6,50,14,-8552.675631388789,0.965,2.5,0.2
Serie_1,0.6,50,15,-8546.913702952665,0.965,2.5,0.2
Serie_1,0.6,50,16,-8597.165666216328,0.965,2.5,0.2
Serie_1,0.6,50,17,-8552.45741175186,0.965,2.5,0.2
Serie_1,0.6,50,18,-8809.59454753439,0.965,2.5,0.2
Serie_1,0.6,50,19,-8568.063090827694,0.965,2.5,0.2
Serie_1,0.6,50,20,-8625.24553892907,0.965,2.5,0.2
Serie_1,0.6,50,21,-8510.51484650476,0.965,2.5,0.2
Serie_1,0.6,50,22,-8588.36464308612,0.965,2.5,0.2
Serie_1,0.6,50,23,-8692.507885171148,0.965,2.5,0.2
Serie_1,0.6,50,24,-8400.581051904093,0.965,2.5,0.2
Serie_1,0.6,50,25,-8534.431940214947,0.965,2.5,0.2
Serie_1,0.6,50,26,-8656.18461716034,0.965,2.5,0.2
Serie_1,0.6,50,27,-8671.485371484392,0.965,2.5,0.2
Serie_1,0.6,50,28,-8600.053005057973,0.965,2.5,0.2
Serie_1,0.6,50,29,-8449.350486466557,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,0,-8535.053905181541,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,1,-8424.967026737859,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,2,-8261.878885651775,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,3,-8268.325739734606,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,4,-8570.357315289366,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,5,-8397.483695920908,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,6,-8507.380913527706,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,7,-8474.53829261611,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,8,-8513.444488704774,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,9,-8571.385524291,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,10,-8542.934702618188,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,11,-8400.375438179663,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,12,-8276.04340310168,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,13,-8392.65677846755,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,14,-8264.929882253498,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,15,-8667.842521413844,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,16,-8524.151739419654,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,17,-8359.715855610486,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,18,-8316.951450350913,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,19,-8359.15299222964,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,20,-8357.49711510461,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,21,-8573.477937878823,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,22,-8321.573348650392,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,23,-8384.509671251502,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,24,-8413.745131334399,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,25,-8314.014006665462,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,26,-8207.520357828194,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,27,-8511.250808224579,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,28,-8418.321473732472,0.965,2.5,0.2
Serie_1,0.6050506329113924,50,29,-8420.373502473365,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,0,-8340.919738343704,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,1,-8047.4634695540535,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,2,-8430.91514894023,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,3,-8430.441582062007,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,4,-8355.316925366977,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,5,-8106.934800827732,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,6,-8371.823193726786,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,7,-8232.436979550985,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,8,-8267.386157232331,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,9,-8185.792997024022,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,10,-8266.471248708582,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,11,-8125.069403120795,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,12,-8482.707438216934,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,13,-8249.92991697113,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,14,-8247.922431681496,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,15,-8261.604120355127,0.965,2.5,0.2
Serie_1,0.6101012658227848,50,16,-8291.280939699529,0.965,2.5,0.2
